,Applied during year,Country / territory of asylum/residence,Origin,Otherwise closed,RSD procedure type / level,Rejected,Tota pending start-year,Total decisions,Total pending end-year,Year,of which UNHCR-assisted,statistics.filter.decisions_other,statistics.filter.decisions_recognized
114613,23,Nigeria,Mali,192,G / FI,7,238,218,43,2015,43,,19
114614,11,Netherlands,Mali,1,G / FI,12,10,13,10,2015,,,
114615,5,Netherlands,Mali,,G / RA,3,,4,,2015,,,1
114616,0,Norway,Mali,0,G / RA,0,0,,0,2015,0,0,0
114617,12,Norway,Mali,6,G / FI,0,0,7,5,2015,0,0,1
114618,8,Norway,Mali,0,G / AR,9,0,9,1,2015,0,0,0
114619,,Angola,Mali,,G / FI,,1,,1,2015,0,,
114620,,Argentina,Mali,,G / FI,,0,,0,2015,0,,
114621,1,Armenia,Mali,,U / FI,,,,1,2015,1,,
114622,,Armenia,Mali,,G / JR,1,1,1,0,2015,0,,
114623,,United States of America,Malta,,G / EO,,,,,2015,,,
114624,1,Ukraine,Malta,1,G / FI,0,0,1,0,2015,0,0,0
114625,0,Australia,Malta,0,G / FI,0,1,,3,2015,0,,0
114626,1,Australia,Malta,0,G / AR,1,0,1,0,2015,0,,0
114627,,Belgium,Malta,,G / JR,,,,,2015,0,,
114628,,Belgium,Malta,,G / RA,,,,,2015,,,
114629,0,Belgium,Malta,0,G / FI,0,0,,0,2015,0,0,0
114630,1,Denmark,Malta,,G / FI,0,0,,1,2015,0,0,0
114631,0,United Kingdom,Malta,0,G / AR,0,,,,2015,,,0
114632,0,United Kingdom,Malta,0,G / RA,0,,,,2015,,0,0
114633,0,United Kingdom,Malta,0,G / FI,0,0,,0,2015,,0,0
114634,0,Latvia,Malta,0,G / FI,0,0,,0,2015,0,0,0
114635,1,Malaysia,Malta,1,U / FI,,,1,0,2015,0,,
114636,2,South Africa,Myanmar,,G / AR,,0,,2,2015,0,,
114637,1,South Africa,Myanmar,,G / FI,2,2,2,1,2015,0,,
114638,155,United States of America,Myanmar,17,G / IN,3,105,59,211,2015,,,39
114639,20,United States of America,Myanmar,20,G / EO,12,138,50,135,2015,,,18
114640,,Yemen,Myanmar,,U / FI,,1,,1,2015,1,,
114641,2,New Zealand,Myanmar,,G / FI,1,0,1,1,2015,0,,0
114642,7,Pakistan,Myanmar,,U / FI,0,0,7,0,2015,0,,7
114643,0,Papua New Guinea,Myanmar,,G / FI,0,3,,3,2015,,,0
114644,1,Sudan,Myanmar,0,U / FI,0,0,,1,2015,1,0,0
114645,33,Serbia and Kosovo (S/RES/1244 (1999)),Myanmar,33,G / FI,,,33,0,2015,,,
114646,1,Sweden,Myanmar,1,G / AR,1,1,2,0,2015,0,0,0
114647,9,Sweden,Myanmar,2,G / FI,0,5,2,9,2015,0,0,0
114648,1,Sweden,Myanmar,0,G / RA,0,1,,1,2015,0,0,0
114649,356,Thailand,Myanmar,,G / FI,15,746,167,935,2015,935,,152
114650,,Thailand,Myanmar,,U / FI,,254,,254,2015,254,,
114651,,Turkey,Myanmar,1,U / AR,,1,1,0,2015,,,
114652,2,Turkey,Myanmar,4,U / FI,,21,4,19,2015,19,,
114653,1,Turkey,Myanmar,,U / RA,,,,1,2015,1,,
114654,2,Ukraine,Myanmar,0,G / FI,0,3,,5,2015,2,0,0
114655,0,Ukraine,Myanmar,0,G / JR,0,4,,4,2015,3,,0
114656,15,Australia,Myanmar,1,G / AR,5,9,7,7,2015,0,,1
114657,26,Australia,Myanmar,0,G / FI,3,75,11,62,2015,0,,8
114658,23,Austria,Myanmar,4,G / FA,6,10,14,16,2015,0,,4
114659,8,Belgium,Myanmar,0,G / FI,3,6,5,8,2015,0,0,2
114660,4,Belgium,Myanmar,4,G / RA,,,4,,2015,,,
114661,9,Belgium,Myanmar,5,G / JR,15,,20,1,2015,0,,
114662,,Bangladesh,Myanmar,3,U / FI,5,9,9,0,2015,,,1
114663,1,Bulgaria,Myanmar,,G / RA,,,,,2015,,,
114664,14,Bulgaria,Myanmar,23,G / FI,2,9,25,19,2015,19,,
114665,0,Brazil,Myanmar,,G / FI,0,4,,4,2015,0,,0
114666,4,Canada,Myanmar,,G / FI,3,4,5,3,2015,,,2
114667,3,Canada,Myanmar,,G / AR,,0,3,0,2015,,,3
114668,6,Switzerland,Myanmar,0,G / FI,2,7,3,7,2015,0,1,0
114669,2,Czech Rep.,Myanmar,,G / FI,,0,2,0,2015,0,,2
114670,2,Germany,Myanmar,0,G / RA,0,1,,3,2015,,0,0
114671,54,Germany,Myanmar,10,G / NA,0,127,22,155,2015,0,0,12
114672,,Germany,Myanmar,7,G / JR,,20,7,10,2015,0,,
114673,27,Denmark,Myanmar,,G / AR,28,5,29,0,2015,0,0,1
114674,11,Denmark,Myanmar,,G / FI,36,27,37,9,2015,0,0,1
114675,1,Egypt,Myanmar,3,U / FI,,5,3,3,2015,3,,
114676,3,Spain,Myanmar,,G / FI,1,2,1,5,2015,,,
114677,4,Finland,Myanmar,0,G / FI,1,15,15,3,2015,0,0,14
114678,24,France,Myanmar,36,G / AR,134,128,191,32,2015,,0,21
114679,17,France,Myanmar,,G / FI,65,38,68,19,2015,,0,3
114680,48,France,Myanmar,,G / RA,,,,,2015,,,
114681,175,United Kingdom,Myanmar,13,G / FI,136,165,205,159,2015,,0,56
114682,132,United Kingdom,Myanmar,2,G / AR,32,,58,,2015,,,24
114683,0,United Kingdom,Myanmar,0,G / RA,0,,,,2015,,0,0
114684,1,Greece,Myanmar,,G / RA,,,,,2015,,,
114685,18,Greece,Myanmar,2,G / FI,8,4,16,8,2015,,,6
114686,6,Greece,Myanmar,,G / AR,1,,1,3,2015,,,
114687,,Croatia,Myanmar,1,G / FI,,1,1,0,2015,,,
114688,68,Hungary,Myanmar,45,G / FI,,1,45,25,2015,0,,
114689,68,Hungary,Myanmar,,G / RA,,,,,2015,,,
114690,1034,Indonesia,Myanmar,608,U / FI,,51,666,419,2015,419,,58
114691,,Indonesia,Myanmar,,U / AR,1,1,1,0,2015,0,,
114692,108,India,Myanmar,0,U / AR,83,12,86,34,2015,34,0,3
114693,2847,India,Myanmar,681,U / FI,126,2958,2948,2857,2015,2857,0,2141
114694,4,Ireland,Myanmar,0,G / AR,0,2,4,2,2015,0,,4
114695,3,Ireland,Myanmar,0,G / FI,0,0,,3,2015,0,,0
114696,0,Ireland,Myanmar,1,G / SP,0,3,2,1,2015,0,,1
114697,4,Iran (Islamic Rep. of),Myanmar,,U / FI,,,4,0,2015,0,,4
114698,,Israel,Myanmar,,G / FA,,,,,2015,,,
114699,5,Italy,Myanmar,,G / FI,,4,8,3,2015,,3,5
114700,1,Jordan,Myanmar,0,U / FI,0,1,,2,2015,2,0,0
114701,808,Japan,Myanmar,,G / FI,226,400,230,945,2015,11,3,1
114702,198,Japan,Myanmar,,G / AR,,629,,547,2015,0,,
114703,,Cambodia,Myanmar,,G / FI,,3,,3,2015,3,,
114704,44,Rep. of Korea,Myanmar,1,G / FA,17,26,25,17,2015,10,3,4
114705,5,Sri Lanka,Myanmar,,U / FI,,10,12,3,2015,3,,12
114706,,Luxembourg,Myanmar,,G / AR,,,,,2015,0,,
114707,0,Latvia,Myanmar,0,G / FI,0,0,,0,2015,0,0,0
114708,0,Mexico,Myanmar,0,G / FI,,4,,4,2015,,,
114709,5,The former Yugoslav Republic of Macedonia,Myanmar,9,G / FA,,4,9,0,2015,0,,
114710,18141,Malaysia,Myanmar,2034,U / FI,225,45357,10242,53256,2015,53256,,7983
114711,144,Malaysia,Myanmar,,U / AR,185,386,188,342,2015,342,,3
114712,,Netherlands,Myanmar,,G / RA,1,,1,,2015,,,
114713,37,Netherlands,Myanmar,1,G / FI,7,6,30,11,2015,,1,21
114714,3,Norway,Myanmar,3,G / RA,0,0,3,0,2015,0,0,0
114715,13,Norway,Myanmar,1,G / AR,8,0,9,7,2015,0,0,0
114716,9,Norway,Myanmar,2,G / FI,0,0,5,3,2015,0,0,3
114717,56,Nepal,Myanmar,,U / FI,,17,65,8,2015,8,,65
114718,0,Nauru,Myanmar,,G / FI,2,23,14,4,2015,0,,12
114719,,Argentina,Myanmar,,G / FI,,0,,0,2015,0,,
114720,,United States of America,Montenegro,,G / EO,,7,,13,2015,,,
114721,34,United States of America,Montenegro,15,G / IN,0,26,18,47,2015,,,3
114722,17,Sweden,Montenegro,6,G / RA,10,4,16,10,2015,0,0,0
114723,109,Sweden,Montenegro,58,G / FI,76,51,134,15,2015,0,0,0
114724,59,Sweden,Montenegro,4,G / AR,64,25,68,15,2015,0,0,0
114725,13,Austria,Montenegro,,G / FA,13,13,13,11,2015,0,,
114726,2,Belgium,Montenegro,1,G / JR,2,,3,1,2015,0,,
114727,6,Belgium,Montenegro,,G / RA,,,,,2015,,,
114728,9,Belgium,Montenegro,0,G / FI,8,1,10,3,2015,0,0,2
114729,1,Bosnia and Herzegovina,Montenegro,1,G / FI,,,1,0,2015,0,,
114730,,Canada,Montenegro,,G / FI,,1,,3,2015,,,
114731,8,Switzerland,Montenegro,,G / FI,,,,,2015,,,
114732,402,Germany,Montenegro,247,G / RA,80,166,328,247,2015,,1,0
114733,,Germany,Montenegro,440,G / JR,285,417,738,789,2015,0,13,
114734,3233,Germany,Montenegro,188,G / NA,1775,425,1969,1681,2015,0,6,0
114735,3,Denmark,Montenegro,,G / FI,2,0,2,0,2015,0,0,0
114736,0,Denmark,Montenegro,,G / AR,0,1,,0,2015,0,0,0
114737,12,Finland,Montenegro,4,G / FI,6,6,10,2,2015,0,0,0
114738,7,Finland,Montenegro,0,G / RA,0,,,0,2015,0,0,0
114739,8,France,Montenegro,,G / RA,,,,,2015,,,
114740,63,France,Montenegro,42,G / AR,68,45,115,37,2015,,4,1
114741,189,France,Montenegro,,G / FI,97,13,98,55,2015,,0,1
114742,0,United Kingdom,Montenegro,0,G / AR,0,,,,2015,,,0
114743,0,United Kingdom,Montenegro,0,G / RA,0,,,,2015,,0,0
114744,0,United Kingdom,Montenegro,0,G / FI,0,1,,0,2015,,0,0
114745,3,Croatia,Montenegro,4,G / FI,,1,4,0,2015,,,
114746,7,Hungary,Montenegro,7,G / FI,,0,7,0,2015,0,,
114747,7,Hungary,Montenegro,,G / RA,,,,,2015,,,
114748,11,Italy,Montenegro,,G / FI,,11,10,19,2015,,10,
114749,6,Luxembourg,Montenegro,6,G / RA,,,6,,2015,0,,
114750,8,Luxembourg,Montenegro,5,G / JR,9,9,14,3,2015,0,,
114751,53,Luxembourg,Montenegro,7,G / FI,73,40,80,32,2015,0,,
114752,69,Luxembourg,Montenegro,10,G / AR,75,32,85,9,2015,0,,
114753,0,Latvia,Montenegro,0,G / FI,0,0,,0,2015,0,0,0
114754,9,Netherlands,Montenegro,1,G / FI,1,2,2,8,2015,,,
114755,13,Norway,Montenegro,1,G / AR,14,0,15,0,2015,0,0,0
114756,0,Norway,Montenegro,0,G / RA,0,0,,1,2015,0,0,0
114757,10,Norway,Montenegro,2,G / FI,9,0,11,0,2015,0,0,0
114758,12,United States of America,Mongolia,86,G / EO,9,411,100,408,2015,,,5
114759,245,United States of America,Mongolia,33,G / IN,0,187,57,378,2015,,,24
114760,2,Poland,Mongolia,,G / FI,3,3,3,3,2015,,,
114761,6,Poland,Mongolia,,G / RA,,,,,2015,,,
114762,1,Romania,Mongolia,1,G / FI,,0,1,,2015,,,
114763,2,Serbia and Kosovo (S/RES/1244 (1999)),Mongolia,2,G / FI,,,2,0,2015,,,
114764,,Slovakia,Mongolia,1,G / FI,3,,4,,2015,0,,
114765,,Slovenia,Mongolia,,G / FI,1,1,1,,2015,0,,
114766,180,Sweden,Mongolia,14,G / RA,51,51,88,188,2015,0,23,0
114767,972,Sweden,Mongolia,84,G / FI,294,448,393,924,2015,0,14,1
114768,285,Sweden,Mongolia,7,G / AR,237,65,252,96,2015,0,8,0
114769,2,Thailand,Mongolia,1,U / FI,,,1,1,2015,1,,
114770,1,Turkey,Mongolia,1,U / RA,,,1,0,2015,0,,
114771,13,Turkey,Mongolia,23,U / FI,1,76,24,65,2015,65,,
114772,0,Ukraine,Mongolia,0,G / JR,0,1,,1,2015,0,,0
114773,0,Ukraine,Mongolia,0,G / FI,0,1,,1,2015,0,0,0
114774,19,Australia,Mongolia,2,G / FI,3,51,5,14,2015,0,,0
114775,19,Australia,Mongolia,0,G / AR,4,12,4,27,2015,0,,0
114776,163,Austria,Mongolia,21,G / FA,67,272,99,340,2015,0,7,4
114777,25,Austria,Mongolia,,G / RA,,,,,2015,,,
114778,18,Belgium,Mongolia,0,G / FI,9,4,9,9,2015,0,0,0
114779,5,Belgium,Mongolia,1,G / JR,5,,6,4,2015,0,,
114780,3,Belgium,Mongolia,2,G / RA,,,2,,2015,,,
114781,,Bulgaria,Mongolia,1,G / FI,,,1,,2015,,,
114782,35,Canada,Mongolia,,G / FI,12,11,30,18,2015,,,18
114783,12,Canada,Mongolia,,G / AR,11,3,15,0,2015,,,4
114784,12,Switzerland,Mongolia,,G / FI,,,,,2015,,,
114785,1,Cyprus,Mongolia,,G / FI,1,,1,0,2015,,,
114786,1,Cyprus,Mongolia,,G / AR,1,1,1,1,2015,,,
114787,12,Czech Rep.,Mongolia,9,G / FI,6,4,16,4,2015,0,,1
114788,3,Czech Rep.,Mongolia,,G / RA,,,,,2015,,,
114789,340,Germany,Mongolia,129,G / NA,51,458,181,596,2015,0,0,1
114790,,Germany,Mongolia,40,G / JR,12,42,52,69,2015,0,,
114791,41,Germany,Mongolia,26,G / RA,5,11,31,36,2015,,0,0
114792,1,Spain,Mongolia,,G / FI,1,,1,5,2015,,,
114793,0,Finland,Mongolia,0,G / FI,0,0,,1,2015,0,0,0
114794,16,France,Mongolia,,G / RA,,,,,2015,,,
114795,90,France,Mongolia,46,G / AR,103,55,156,54,2015,,5,2
114796,212,France,Mongolia,,G / FI,138,32,168,77,2015,,9,21
114797,6,United Kingdom,Mongolia,0,G / AR,1,,3,,2015,,,2
114798,0,United Kingdom,Mongolia,0,G / RA,0,,,,2015,,0,0
114799,16,United Kingdom,Mongolia,5,G / FI,20,47,28,28,2015,,1,2
114800,,Greece,Mongolia,,G / FI,2,2,2,,2015,,,
114801,3,China HK,Mongolia,,U / FI,,0,,3,2015,0,,
114802,1,Croatia,Mongolia,,G / FI,1,,1,0,2015,,,
114803,102,Hungary,Mongolia,98,G / FI,,0,98,1,2015,0,,
114804,99,Hungary,Mongolia,,G / RA,,,,,2015,,,
114805,1,Ireland,Mongolia,0,G / SP,0,0,,1,2015,0,,0
114806,1,Ireland,Mongolia,0,G / FI,1,1,1,1,2015,0,,0
114807,1,Ireland,Mongolia,0,G / AR,1,2,1,2,2015,0,,0
114808,,Israel,Mongolia,,G / FA,,,,,2015,,,
114809,5,Japan,Mongolia,,G / FI,,,,5,2015,0,,
114810,1,Rep. of Korea,Mongolia,,G / FA,5,5,5,1,2015,1,,
114811,4,Liechtenstein,Mongolia,2,G / FI,,,2,2,2015,0,,
114812,,Luxembourg,Mongolia,,G / AR,,,,,2015,0,,
114813,0,Latvia,Mongolia,0,G / FI,0,0,,0,2015,0,0,0
114814,363,Netherlands,Mongolia,51,G / FI,315,157,369,81,2015,,,3
114815,6,Netherlands,Mongolia,,G / RA,3,,3,,2015,,,
114816,4,Norway,Mongolia,1,G / AR,6,0,7,0,2015,0,0,0
114817,20,Norway,Mongolia,3,G / FI,17,0,20,3,2015,0,0,0
114818,1,Norway,Mongolia,1,G / RA,0,0,1,0,2015,0,0,0
114819,5,South Africa,Mozambique,,G / AR,2,13,2,16,2015,2,,
114820,954,South Africa,Mozambique,,G / FI,931,1356,931,1379,2015,138,,
114821,1,United States of America,Mozambique,1,G / IN,,2,1,2,2015,,,
114822,,United States of America,Mozambique,,G / EO,,,,4,2015,,,
114823,1,Portugal,Mozambique,0,G / FI,0,0,,1,2015,0,0,0
114824,1,Serbia and Kosovo (S/RES/1244 (1999)),Mozambique,1,G / FI,,,1,0,2015,,,
114825,0,Ukraine,Mozambique,0,G / FI,0,1,,1,2015,0,0,0
114826,0,Ukraine,Mozambique,0,G / JR,0,1,,1,2015,0,,0
114827,0,Belgium,Mozambique,0,G / FI,0,0,,0,2015,0,0,0
114828,,Belgium,Mozambique,,G / RA,,,,,2015,,,
114829,,Belgium,Mozambique,,G / JR,,,,,2015,0,,
114830,1,Bulgaria,Mozambique,1,G / FI,,,1,1,2015,1,,
114831,30,Brazil,Mozambique,,G / FI,1,13,1,42,2015,5,,0
114832,1,Canada,Mozambique,,G / FI,,0,,1,2015,,,
114833,0,Switzerland,Mozambique,,G / FI,,,,,2015,,,
114834,2,China,Mozambique,1,U / FI,,4,1,5,2015,5,,
114835,,Germany,Mozambique,4,G / JR,,4,4,1,2015,0,,
114836,0,Germany,Mozambique,0,G / NA,0,3,,2,2015,0,0,0
114837,2,Spain,Mozambique,,G / FI,,,,,2015,,,
114838,0,France,Mozambique,,G / RA,,,,,2015,,,
114839,4,France,Mozambique,,G / FI,0,1,,5,2015,,0,0
114840,2,United Kingdom,Mozambique,0,G / AR,1,,2,,2015,,,1
114841,0,United Kingdom,Mozambique,0,G / RA,0,,,,2015,,0,0
114842,2,United Kingdom,Mozambique,0,G / FI,1,3,1,3,2015,,0,0
114843,1,Hungary,Mozambique,,G / RA,,,,,2015,,,
114844,1,Hungary,Mozambique,1,G / FI,,0,1,0,2015,0,,
114845,1,India,Mozambique,0,U / FI,1,0,1,0,2015,0,0,0
114846,1,Ireland,Mozambique,0,G / AR,0,2,1,2,2015,0,,1
114847,1,Italy,Mozambique,,G / FI,,1,1,,2015,,1,
114848,,Kenya,Mozambique,,J / FI,,6,,6,2015,6,,
114849,1,Rep. of Korea,Mozambique,,G / FA,,1,,1,2015,0,,
114850,,Luxembourg,Mozambique,,G / AR,,,,,2015,0,,
114851,0,Latvia,Mozambique,0,G / FI,0,0,,0,2015,0,0,0
114852,1,Norway,Mozambique,1,G / FI,0,0,1,0,2015,0,0,0
114853,0,South Africa,Mauritania,,G / FI,,1,,1,2015,0,,
114854,,United States of America,Mauritania,38,G / EO,4,244,57,251,2015,,,15
114855,289,United States of America,Mauritania,53,G / IN,1,284,114,474,2015,,,60
114856,0,Venezuela (Bolivarian Republic of),Mauritania,,G / FI,,1,,1,2015,1,,
114857,2,Portugal,Mauritania,1,G / FI,0,0,1,1,2015,0,0,0
114858,,Romania,Mauritania,,G / FI,,,,1,2015,1,,
114859,,Romania,Mauritania,,G / JR,,1,,,2015,,,
114860,9,Senegal,Mauritania,,G / FA,,69,,78,2015,78,,
114861,47,Serbia and Kosovo (S/RES/1244 (1999)),Mauritania,47,G / FI,,,47,0,2015,,,
114862,13,Sweden,Mauritania,8,G / FI,0,6,10,8,2015,0,0,2
114863,4,Sweden,Mauritania,0,G / AR,5,0,5,0,2015,0,0,0
114864,,Syrian Arab Rep.,Mauritania,1,U / AR,,1,1,0,2015,0,,
114865,,Chad,Mauritania,,G / FA,,1,,1,2015,1,,
114866,,Turkey,Mauritania,1,U / AR,,1,1,0,2015,,,
114867,,Turkey,Mauritania,1,U / FI,,3,2,1,2015,1,,1
114868,0,Ukraine,Mauritania,0,G / JR,0,1,,1,2015,0,,0
114869,6,Austria,Mauritania,2,G / FA,6,12,8,12,2015,0,,
114870,35,Belgium,Mauritania,21,G / RA,,,21,,2015,,,
114871,59,Belgium,Mauritania,15,G / JR,47,,67,19,2015,0,,5
114872,96,Belgium,Mauritania,2,G / FI,58,35,81,38,2015,0,0,21
114873,1,Bulgaria,Mauritania,,G / RA,,,,,2015,,,
114874,,Bulgaria,Mauritania,,G / FI,2,1,2,1,2015,1,,
114875,3,Brazil,Mauritania,,G / FI,0,4,,7,2015,2,,0
114876,8,Canada,Mauritania,,G / AR,4,2,4,6,2015,,,
114877,43,Canada,Mauritania,1,G / FI,8,9,27,27,2015,,,18
114878,19,Switzerland,Mauritania,9,G / FI,17,19,28,11,2015,0,2,0
114879,1,Côte d'Ivoire,Mauritania,,J / FA,,3,,4,2015,4,,
114880,1,Cameroon,Mauritania,,U / AR,,1,,2,2015,2,,
114881,3,Cameroon,Mauritania,7,U / FI,1,6,8,1,2015,1,,
114882,50,Congo,Mauritania,44,G / FA,,55,46,59,2015,59,,2
114883,144,Germany,Mauritania,54,G / NA,15,38,70,104,2015,0,0,1
114884,,Germany,Mauritania,42,G / JR,2,76,44,51,2015,0,,
114885,13,Germany,Mauritania,16,G / RA,0,0,16,5,2015,,0,0
114886,3,Denmark,Mauritania,,G / FI,0,0,,0,2015,0,0,0
114887,,Egypt,Mauritania,1,U / FI,,1,1,0,2015,0,,
114888,6,Spain,Mauritania,,G / FI,1,10,1,15,2015,,,
114889,1,Finland,Mauritania,4,G / FI,0,4,5,0,2015,0,1,0
114890,480,France,Mauritania,133,G / AR,467,272,676,353,2015,,4,72
114891,143,France,Mauritania,,G / RA,,,,,2015,,,
114892,913,France,Mauritania,,G / FI,786,315,864,451,2015,,2,76
114893,1,Gabon,Mauritania,,G / FA,,2,,3,2015,3,,
114894,1,United Kingdom,Mauritania,0,G / AR,1,,2,,2015,,,1
114895,0,United Kingdom,Mauritania,0,G / RA,0,,,,2015,,0,0
114896,1,United Kingdom,Mauritania,0,G / FI,2,3,2,1,2015,,0,0
114897,9,Greece,Mauritania,,G / RA,,,,,2015,,,
114898,5,Greece,Mauritania,4,G / FI,9,9,18,3,2015,,,5
114899,8,Greece,Mauritania,,G / AR,9,10,13,3,2015,,,4
114900,,Croatia,Mauritania,,G / FI,,2,2,0,2015,,,2
114901,84,Hungary,Mauritania,55,G / FI,5,2,60,28,2015,0,,
114902,78,Hungary,Mauritania,,G / RA,,,,,2015,,,
114903,0,Ireland,Mauritania,1,G / SP,0,1,1,0,2015,0,,0
114904,0,Iceland,Mauritania,0,G / FI,0,1,1,0,2015,0,0,1
114905,90,Italy,Mauritania,,G / FI,69,51,121,54,2015,,37,15
114906,,Rep. of Korea,Mauritania,,G / FA,1,1,1,0,2015,0,,
114907,1,Luxembourg,Mauritania,,G / RA,,,,,2015,0,,
114908,,Luxembourg,Mauritania,1,G / FI,,1,1,1,2015,0,,
114909,,Luxembourg,Mauritania,,G / AR,,,,,2015,0,,
114910,1,Latvia,Mauritania,1,G / FI,0,0,1,0,2015,0,0,0
114911,1,Morocco,Mauritania,0,U / FI,0,1,,2,2015,2,0,0
114912,0,Mexico,Mauritania,,G / FI,,1,,1,2015,,,0
114913,0,The former Yugoslav Republic of Macedonia,Mauritania,3,G / FA,,3,3,0,2015,0,,
114914,5,Montenegro,Mauritania,5,G / FA,0,0,5,0,2015,0,0,0
114915,,Mozambique,Mauritania,,G / FI,,1,,1,2015,0,,
114916,1,Netherlands,Mauritania,,G / RA,,,1,,2015,,,1
114917,1,Netherlands,Mauritania,,G / FI,1,,2,,2015,,,1
114918,0,Norway,Mauritania,0,G / RA,0,0,,0,2015,0,0,0
114919,5,Norway,Mauritania,0,G / AR,6,0,6,0,2015,0,0,0
114920,4,Norway,Mauritania,3,G / FI,1,0,4,1,2015,0,0,0
114921,16,Angola,Mauritania,3,G / FI,9,5415,28,5403,2015,0,,16
114922,,Argentina,Mauritania,,G / FI,,0,,0,2015,0,,
114923,,United States of America,Martinique,,G / EO,,,,,2015,,,
114924,3,South Africa,Mauritius,,G / FI,3,0,3,0,2015,0,,
114925,3,South Africa,Mauritius,,G / AR,,0,,3,2015,0,,
114926,20,United States of America,Mauritius,2,G / IN,0,12,4,27,2015,,,2
114927,,United States of America,Mauritius,,G / EO,,5,,4,2015,,,
114928,1,Paraguay,Mauritius,,G / FI,,,,1,2015,0,,
114929,1,Serbia and Kosovo (S/RES/1244 (1999)),Mauritius,1,G / FI,,,1,0,2015,,,
114930,1,Australia,Mauritius,0,G / AR,3,2,3,1,2015,0,,0
114931,21,Australia,Mauritius,0,G / FI,0,30,3,41,2015,0,,3
114932,1,Austria,Mauritius,,G / FA,,,,1,2015,0,,
114933,,Belgium,Mauritius,,G / JR,,,,,2015,0,,
114934,,Belgium,Mauritius,,G / RA,,,,,2015,,,
114935,2,Belgium,Mauritius,0,G / FI,0,0,,1,2015,0,0,0
114936,5,Canada,Mauritius,,G / FI,1,1,2,5,2015,,,1
114937,0,Switzerland,Mauritius,,G / FI,,,,,2015,,,
114938,,Cameroon,Mauritius,1,U / AR,,1,1,0,2015,0,,
114939,1,Germany,Mauritius,0,G / NA,0,2,2,1,2015,0,2,0
114940,0,Denmark,Mauritius,,G / FI,1,1,1,0,2015,0,0,0
114941,1,Denmark,Mauritius,,G / AR,1,0,1,0,2015,0,0,0
114942,0,Finland,Mauritius,0,G / FI,1,1,1,0,2015,0,0,0
114943,2,France,Mauritius,0,G / AR,1,1,1,2,2015,,0,0
114944,17,France,Mauritius,,G / FI,4,2,4,13,2015,,0,0
114945,0,France,Mauritius,,G / RA,,,,,2015,,,
114946,1,United Kingdom,Mauritius,0,G / RA,0,,,,2015,,0,0
114947,71,United Kingdom,Mauritius,11,G / FI,62,59,75,57,2015,,1,1
114948,9,United Kingdom,Mauritius,1,G / AR,6,,8,,2015,,,1
114949,1,Hungary,Mauritius,1,G / FI,,0,1,0,2015,0,,
114950,1,Hungary,Mauritius,,G / RA,,,,,2015,,,
114951,15,Ireland,Mauritius,2,G / FI,10,9,12,12,2015,0,,0
114952,17,Ireland,Mauritius,2,G / AR,5,15,7,25,2015,0,,0
114953,10,Ireland,Mauritius,6,G / SP,0,0,6,4,2015,0,,0
114954,7,Italy,Mauritius,,G / FI,5,2,7,1,2015,,2,
114955,1,Lebanon,Mauritius,,U / FI,,,,1,2015,1,,
114956,,Luxembourg,Mauritius,,G / AR,,,,,2015,0,,
114957,0,Latvia,Mauritius,0,G / FI,0,0,,0,2015,0,0,0
114958,,Angola,Mauritius,,G / FI,,1,,1,2015,0,,
114959,2336,South Africa,Malawi,186,G / AR,1144,759,1330,1765,2015,177,,
114960,2372,South Africa,Malawi,,G / FI,2378,3402,2378,3396,2015,340,,
114961,,United States of America,Malawi,,G / EO,,,,11,2015,,,
114962,12,United States of America,Malawi,2,G / IN,,7,2,17,2015,,,
114963,1,Portugal,Malawi,0,G / FI,0,0,,1,2015,0,0,0
114964,0,Sweden,Malawi,1,G / FI,0,1,1,0,2015,0,0,0
114965,1,Australia,Malawi,0,G / AR,0,0,,1,2015,0,,0
114966,0,Australia,Malawi,0,G / FI,0,5,,3,2015,0,,0
114967,3,Austria,Malawi,,G / FA,1,,1,1,2015,0,,
114968,,Belgium,Malawi,,G / JR,,,,,2015,0,,
114969,1,Belgium,Malawi,0,G / FI,0,0,,1,2015,0,0,0
114970,,Belgium,Malawi,,G / RA,,,,,2015,,,
114971,2,Canada,Malawi,,G / FI,,1,1,2,2015,,,1
114972,0,Switzerland,Malawi,,G / FI,,,,,2015,,,
114973,1,Cayman Islands,Malawi,,G / FI,1,,1,0,2015,0,,
114974,,Germany,Malawi,2,G / JR,,1,2,1,2015,0,,
114975,0,Germany,Malawi,0,G / RA,0,0,,0,2015,,0,0
114976,3,Germany,Malawi,0,G / NA,2,0,2,1,2015,0,0,0
114977,1,Spain,Malawi,,G / FI,,,,,2015,,,
114978,3,France,Malawi,,G / FI,0,2,,5,2015,,0,0
114979,2,France,Malawi,,G / RA,,,,,2015,,,
114980,61,United Kingdom,Malawi,3,G / AR,31,,41,,2015,,,7
114981,3,United Kingdom,Malawi,0,G / RA,0,,,,2015,,0,0
114982,120,United Kingdom,Malawi,10,G / FI,138,179,196,119,2015,,38,10
114983,,Greece,Malawi,,G / FI,,1,,1,2015,,,
114984,95,Ireland,Malawi,9,G / FI,29,24,44,78,2015,0,,6
114985,3,Ireland,Malawi,,G / RA,,,,,2015,0,,
114986,22,Ireland,Malawi,8,G / SP,1,3,11,14,2015,0,,2
114987,19,Ireland,Malawi,2,G / AR,20,59,23,55,2015,0,,1
